symbol,n_trades,mean_net_pct,total_net_pct,win_rate_pct,sector
ANSALINFRA,12,2.652411312710947,31.82893575253137,33.33333333333333,(unmapped)
IBSEC,5,2.4149008759879003,12.074504379939501,20.0,(unmapped)
SUZLON,42,2.3877741740549334,100.28651531030721,45.23809523809524,Power
SHASUNPHAR,5,2.365540105156717,11.827700525783584,60.0,(unmapped)
LICHSGFIN,47,2.253120857988657,105.89668032546689,65.95744680851064,Financial Services
GODFRYPHLP,5,2.2032285224868087,11.016142612434043,60.0,FMCG
JINDALSWHL,15,2.134379433160426,32.015691497406394,46.666666666666664,(unmapped)
TORNTPHARM,5,2.1304091020611913,10.652045510305957,80.0,Pharma
MAX,9,2.052461648979213,18.47215484081292,66.66666666666666,(unmapped)
TATACOFFEE,12,2.0109174070524105,24.131008884628926,41.66666666666667,(unmapped)
STROPTICAL,15,1.9368429571233488,29.05264435685023,40.0,(unmapped)
INFRATEL,6,1.9336500266842167,11.6019001601053,66.66666666666666,(unmapped)
HDIL,42,1.910228635967618,80.22960271063995,52.38095238095239,(unmapped)
ABAN,39,1.9000096490915683,74.10037631457116,51.28205128205128,(unmapped)
APTECHT,30,1.8949928490974652,56.849785472923955,46.666666666666664,(unmapped)
NIFTYBEES,5,1.8349009018276905,9.174504509138453,80.0,(unmapped)
BINDALAGRO,15,1.8281231056388971,27.421846584583456,46.666666666666664,(unmapped)
MRF,9,1.8042539375289683,16.238285437760716,44.44444444444444,Auto
GUJAMBCEM,9,1.754908971234639,15.794180741111752,66.66666666666666,(unmapped)
MRPL,26,1.7217557723239385,44.765650080422404,42.30769230769231,Oil & Gas
JKTYRE,14,1.7138729482608073,23.994221275651302,57.14285714285714,(unmapped)
HOTELEELA,11,1.6846039472077685,18.530643419285454,45.45454545454545,(unmapped)
MLL,20,1.6678462198328354,33.35692439665671,50.0,(unmapped)
IOB,29,1.629264885418607,47.2486816771396,55.172413793103445,(unmapped)
RANBAXY,42,1.59056583109346,66.80376490592532,59.523809523809526,(unmapped)
TV18BRDCST,15,1.5353757938918446,23.03063690837767,60.0,(unmapped)
CENTURYTEX,50,1.4844528991923682,74.2226449596184,62.0,(unmapped)
BGRENERGY,10,1.4675453306668982,14.675453306668981,50.0,(unmapped)
KFA,12,1.4101993223352,16.9223918680224,75.0,(unmapped)
TATACHEM,32,1.4098977147240317,45.116726871169014,62.5,Chemicals
AXISBANK,25,1.3834038577808938,34.58509644452234,48.0,Banking
DLF,36,1.3731329624804116,49.43278664929482,58.333333333333336,Realty
EDUCOMP,31,1.3722181593590512,42.53876294013059,45.16129032258064,(unmapped)
DISHMAN,18,1.2958769703551483,23.32578546639267,50.0,(unmapped)
HINDOILEXP,39,1.2805962452206212,49.94325356360423,46.15384615384615,(unmapped)
MCDOWELL-N,51,1.2727355822737425,64.90951469596087,52.94117647058824,(unmapped)
CEATLTD,22,1.238826403006378,27.254180866140317,50.0,(unmapped)
GATI,12,1.2023740982573372,14.428489179088047,33.33333333333333,(unmapped)
BAJAJAUTO,10,1.1373837184084947,11.373837184084948,70.0,(unmapped)
APIL,17,1.0561948512900994,17.95531247193169,52.94117647058824,(unmapped)
ACC,37,1.0189989478344774,37.70296106987566,48.64864864864865,(unmapped)
UPL,8,1.0008092610770096,8.006474088616077,50.0,Chemicals
GRASIM,33,0.9830549560854336,32.44081355081931,57.57575757575758,Cement
UNIONBANK,41,0.9620119284406295,39.44248906606581,51.21951219512195,Banking
BEML,32,0.9479988781707036,30.335964101462515,53.125,Capital Goods
VIPIND,15,0.9189875736105527,13.784813604158291,60.0,(unmapped)
ARVIND,36,0.8913353804646709,32.08807369672815,63.888888888888886,(unmapped)
MUNDRAPORT,9,0.8846490139212939,7.961841125291645,33.33333333333333,(unmapped)
PFC,23,0.8721741434349598,20.060005299004075,60.86956521739131,Financial Services
RIIL,42,0.8447031241973433,35.47753121628842,42.857142857142854,(unmapped)
ABB,27,0.8433615705462474,22.77076240474868,51.85185185185185,Capital Goods
PRISMCEM,12,0.8383343271310828,10.060011925572994,33.33333333333333,(unmapped)
IOC,31,0.8297760652723338,25.72305802344235,54.83870967741935,Oil & Gas
JINDALSAW,13,0.7860112801297975,10.218146641687367,53.84615384615385,(unmapped)
ASIANELEC,9,0.7842472796942721,7.058225517248449,55.55555555555556,(unmapped)
SINTEX,31,0.7570088403678269,23.467274051402633,61.29032258064516,(unmapped)
JETAIRWAYS,49,0.7529021312730011,36.892204432377056,42.857142857142854,(unmapped)
SESAGOA,45,0.7295080833261639,32.82786374967738,44.44444444444444,(unmapped)
TECHM,35,0.729284874813486,25.52497061847201,45.714285714285715,IT
NTPC,33,0.7121150286082523,23.499795944072325,57.57575757575758,Power
HEXAWARE,36,0.7012095389156952,25.243543400965024,47.22222222222222,(unmapped)
HINDALCO,30,0.6884956566578838,20.654869699736516,43.333333333333336,Metals
NBCC,8,0.661189260889592,5.289514087116736,37.5,Capital Goods
NCC,22,0.6415171700383789,14.113377740844337,45.45454545454545,(unmapped)
SIEMENS,46,0.6204028592121389,28.53853152375839,45.65217391304348,Capital Goods
TVTODAY,6,0.6189609910734095,3.713765946440457,66.66666666666666,(unmapped)
STAR,30,0.6175688972197495,18.527066916592485,43.333333333333336,(unmapped)
TATASTEEL,45,0.5931355541166552,26.691099935249483,42.22222222222222,Metals
BANKBARODA,44,0.5751199688116179,25.305278627711186,52.27272727272727,Banking
ESSAROIL,43,0.5731508711400644,24.645487459022767,41.86046511627907,(unmapped)
TRIVENI,14,0.5499301416798945,7.699021983518523,57.14285714285714,(unmapped)
BHARATFORG,41,0.5414629464158326,22.199980803049137,51.21951219512195,Auto
JSWENERGY,19,0.5363918056981417,10.191444308264693,63.1578947368421,Power
UTVSOF,6,0.5027152753410663,3.0162916520463976,66.66666666666666,(unmapped)
REL,11,0.4731027675865682,5.20413044345225,45.45454545454545,(unmapped)
ICICIBANK,46,0.4704877430940318,21.64243618232546,54.347826086956516,Banking
HINDLEVER,13,0.44461129559616813,5.779946842750186,38.46153846153847,(unmapped)
RCOM,35,0.44184327914091404,15.464514769931991,40.0,(unmapped)
AMARAJABAT,12,0.4250330980387229,5.100397176464675,66.66666666666666,(unmapped)
PIDILITIND,13,0.42245232050344445,5.491880166544778,46.15384615384615,Chemicals
TATAGLOBAL,26,0.3729505295786991,9.696713769046177,61.53846153846154,(unmapped)
GOLDBEES,10,0.36641310823775725,3.6641310823775726,40.0,(unmapped)
BAJAJFINSV,5,0.36591749763150283,1.8295874881575143,40.0,Financial Services
INGVYSYABK,6,0.3658059248250701,2.1948355489504205,66.66666666666666,(unmapped)
INDIACEM,45,0.35836038814455057,16.126217466504777,55.55555555555556,(unmapped)
RELCAPITAL,51,0.3431852831905948,17.502449442720337,50.98039215686274,(unmapped)
IVRCLINFRA,34,0.3386737650253694,11.514908010862559,50.0,(unmapped)
BAJAJ-AUTO,27,0.33822753635836794,9.132143481675934,44.44444444444444,Auto
BFUTILITIE,30,0.32658078918037364,9.79742367541121,40.0,(unmapped)
MOSERBAER,17,0.32418561507970267,5.511155456354945,58.82352941176471,(unmapped)
GESHIPPING,5,0.31798135071702693,1.5899067535851346,40.0,(unmapped)
JPASSOCIAT,40,0.3026411564557832,12.105646258231328,47.5,(unmapped)
IPCALAB,10,0.28766420961188877,2.8766420961188874,50.0,(unmapped)
ABIRLANUVO,27,0.281248014048687,7.593696379314549,51.85185185185185,(unmapped)
TORNTPOWER,12,0.27751225335338375,3.330147040240605,58.333333333333336,(unmapped)
DISHTV,24,0.2751064671441799,6.602555211460318,45.83333333333333,(unmapped)
REIAGRO,5,0.2564045516640725,1.2820227583203625,40.0,(unmapped)
ADANIPORTS,11,0.2484058625845208,2.732464488429729,54.54545454545454,Logistics
TATAMOTORS,43,0.24093283191126305,10.360111772184311,48.837209302325576,(unmapped)
ABGSHIP,10,0.23533240207780146,2.3533240207780146,30.0,(unmapped)
MARICO,6,0.2311192291244469,1.3867153747466814,33.33333333333333,FMCG
IPCL,7,0.19082610543362005,1.3357827380353404,42.857142857142854,(unmapped)
RELIANCE,43,0.18866603124906756,8.112639343709905,44.18604651162791,Oil & Gas
INFOSYSTCH,24,0.11525550990626816,2.766132237750436,54.166666666666664,(unmapped)
CESC,22,0.05719979896490446,1.258395577227898,45.45454545454545,Power
RECLTD,32,0.054517595793675905,1.744563065397629,53.125,Financial Services
GEOINFO,6,0.033343379043094444,0.20006027425856665,50.0,(unmapped)
GODREJCP,9,0.031024369592876886,0.27921932633589197,66.66666666666666,FMCG
RPOWER,23,0.01912961707285462,0.4399811926756563,47.82608695652174,Power
ZEETELE,11,0.016489330274112115,0.18138263301523327,45.45454545454545,(unmapped)
RNRL,23,0.0019051602720880235,0.04381868625802454,47.82608695652174,(unmapped)
EVERONN,13,-0.012924284430572159,-0.16801569759743806,30.76923076923077,(unmapped)
ROLTA,34,-0.02018659783531691,-0.6863443264007749,47.05882352941176,(unmapped)
GVKPIL,18,-0.02344579468114401,-0.42202430426059223,38.88888888888889,(unmapped)
TATAMTRDVR,16,-0.06048431804756094,-0.967749088760975,50.0,(unmapped)
ULTRACEMCO,21,-0.08835787094505503,-1.8555152898461555,52.38095238095239,Cement
PNB,44,-0.08958838727904475,-3.941889040277969,47.72727272727273,Banking
ORIENTBANK,52,-0.10613645512035785,-5.519095666258608,42.30769230769231,(unmapped)
PATNI,16,-0.10777088708554472,-1.7243341933687155,43.75,(unmapped)
FINPIPE,5,-0.11348013283712755,-0.5674006641856377,40.0,(unmapped)
NESTLEIND,7,-0.11361065144193638,-0.7952745600935547,42.857142857142854,FMCG
SAIL,40,-0.11699576402760281,-4.679830561104112,40.0,Metals
HDFCBANK,43,-0.13318034767578066,-5.726754950058568,46.51162790697674,Banking
JPHYDRO,13,-0.1511797094913569,-1.9653362233876397,53.84615384615385,(unmapped)
