symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct,short_contract_expiry,rolled_forward_at_entry
TATASTEEL,SAIL,SAIL,TATASTEEL,2021-07-06,2021-07-07,2021-07-30,2021-07-29,rollover,123.1,135.25,1173.9,1458.6,9.532616582372054,-24.464280730897002,-7.465832074262474,0.33740778805848903,0.21178903654485048,2021-07-29,False
JSWSTEEL,SAIL,SAIL,JSWSTEEL,2021-07-12,2021-07-13,2021-07-26,2021-07-27,reverted,125.6,131.0,699.8,710.35,3.9705130640127546,-1.6989467905115792,1.1357831367505877,0.32884999331210196,0.1913731980565876,2021-07-29,False
JSWSTEEL,SAIL,JSWSTEEL,SAIL,2021-07-30,2021-08-02,2021-07-30,,no_fill,,,143.7,,,,,,,2021-08-26,False
MARUTI,M&M,MARUTI,M&M,2021-07-19,2021-07-20,2021-07-20,2021-07-22,reverted,7180.0,7302.0,775.45,767.35,1.3743088449582095,0.8554723670127006,1.114890605985455,0.3248555004456824,0.1890824076342769,2021-08-26,True
MARUTI,HEROMOTOCO,MARUTI,HEROMOTOCO,2021-07-19,2021-07-20,2021-07-20,2021-07-22,reverted,7180.0,7302.0,2866.6,2832.0,1.3743088449582095,1.0180682215865429,1.1961885332723763,0.3248555004456824,0.18893659247889485,2021-08-26,True
M&M,HEROMOTOCO,M&M,HEROMOTOCO,2021-07-28,2021-07-29,2021-07-30,2021-08-02,window_end,730.0,750.0,2790.2,2780.0,2.4132719890411067,0.17587332377606768,1.294572656408587,0.3264540383561644,0.1896918686832485,2021-08-26,True
ITC,ASIANPAINT,ASIANPAINT,ITC,2021-07-15,2021-07-16,2021-07-30,2021-07-29,rollover,2994.0,3004.1,208.4,206.05,0.014577916813635128,0.9386313243762004,0.4766046205949178,0.32276343255177026,0.18900783109404987,2021-07-29,False
ITC,HINDUNILVR,HINDUNILVR,ITC,2021-07-14,2021-07-15,2021-07-30,2021-07-29,rollover,2425.0,2361.4,205.05,206.05,-2.94089658253195,-0.6781436771519193,-1.8095201298419348,0.31821617016082476,0.19045774689100217,2021-07-29,False
ASIANPAINT,HINDUNILVR,HINDUNILVR,ASIANPAINT,2021-07-20,2021-07-22,2021-07-30,2021-08-02,reverted,2450.0,2342.0,3167.15,2970.0,-4.723636530285712,6.040406782438472,0.65838512607638,0.3154732649795918,0.18443258418451922,2021-08-26,True
SBIN,HDFCBANK,HDFCBANK,SBIN,2021-07-19,2021-07-20,2021-07-30,2021-08-02,window_end,1442.0,1435.0,429.0,435.4,-0.8069363524271842,-1.6832005687645715,-1.2450684605958777,0.321499459223301,0.19135907692307694,2021-08-26,True
SBIN,ICICIBANK,SBIN,ICICIBANK,2021-07-13,2021-07-14,2021-07-20,2021-07-22,reverted,429.0,425.55,661.0,651.8,-1.12520557769231,1.2030598668683838,0.03892714458803692,0.32100977349650356,0.18877069288956128,2021-07-29,False
SBIN,ICICIBANK,SBIN,ICICIBANK,2021-07-23,2021-07-26,2021-07-30,2021-08-02,window_end,427.8,434.75,678.8,686.5,1.2998499915147308,-1.325392940483214,-0.012771474484241652,0.32474093882655447,0.19103819681791398,2021-08-26,True
HDFCBANK,ICICIBANK,HDFCBANK,ICICIBANK,2021-07-13,2021-07-14,2021-07-30,2021-07-29,rollover,1497.5,1428.25,661.0,687.5,-4.939515073088476,-4.202695703479571,-4.571105388284023,0.315141116494157,0.19361854765506809,2021-07-29,False
BHEL,LT,BHEL,LT,2021-07-15,2021-07-16,2021-07-30,2021-07-29,rollover,65.1,60.5,1593.6,1596.0,-7.377442374193544,-0.3407575903614477,-3.859099982277496,0.31139014685099853,0.1901551807228916,2021-07-29,False
BHEL,SIEMENS,BHEL,SIEMENS,2021-07-28,2021-07-29,2021-07-30,2021-08-02,window_end,60.5,58.1,1954.0,1967.75,-4.283093229090912,-0.8943363766632582,-2.5887148028770848,0.3161510803305785,0.19065162743091096,2021-08-26,True
LT,SIEMENS,SIEMENS,LT,2021-07-14,2021-07-15,2021-07-30,2021-07-29,rollover,2005.55,1952.9,1537.1,1596.0,-2.943427304714408,-4.025350729295442,-3.484389017004925,0.31821227641794025,0.19345950556242278,2021-07-29,False
BHARTIARTL,IDEA,IDEA,BHARTIARTL,2021-07-02,2021-07-05,2021-07-16,2021-07-19,reverted,8.8,9.55,529.6,540.55,8.187389237499996,-2.259474063444101,2.9639575870279478,0.3353380352272728,0.1918758761329305,2021-07-29,False
BHARTIARTL,IDEA,IDEA,BHARTIARTL,2021-07-28,2021-07-29,2021-07-30,2021-08-02,window_end,8.35,8.35,569.95,566.15,-0.3222452,0.4773036038249058,0.07752920191245288,0.3222452,0.18942154750416704,2021-08-26,True
BHARTIARTL,TATACOMM,BHARTIARTL,TATACOMM,2021-07-05,2021-07-06,2021-07-09,,no_fill,,,,,,,,,,,False
IDEA,TATACOMM,IDEA,TATACOMM,2021-07-01,2021-07-02,2021-07-16,,no_fill,,,,,,,,,,,False
IDEA,TATACOMM,IDEA,TATACOMM,2021-07-29,2021-07-30,2021-07-30,,no_fill,,,,,,,,,,,False
RELIANCE,ONGC,ONGC,RELIANCE,2021-07-20,2021-07-22,2021-07-27,2021-07-28,reverted,114.4,114.9,2124.75,2062.5,0.11414630961538508,2.7423661913166306,1.428256250466008,0.32291662744755245,0.18739025061771972,2021-08-26,True
BPCL,ONGC,ONGC,BPCL,2021-06-30,2021-07-01,2021-07-01,2021-07-02,reverted,117.75,120.0,470.05,465.5,1.585647361783439,0.7788309903201787,1.1822391760518087,0.32518066369426757,0.18915113924050633,2021-07-29,False
BPCL,ONGC,BPCL,ONGC,2021-07-14,2021-07-15,2021-07-15,2021-07-16,reverted,449.3,449.05,119.95,117.5,-0.37780183109280757,1.8543310796165122,0.7382646242618524,0.32215972114400176,0.18818663609837433,2021-07-29,False
BPCL,ONGC,ONGC,BPCL,2021-07-20,2021-07-22,2021-07-29,2021-07-30,reverted,114.4,114.3,455.95,452.6,-0.4095235019230836,0.5453691786380066,0.06792283835746149,0.32211091451048945,0.18936050663449938,2021-08-26,True
DLF,GODREJPROP,DLF,GODREJPROP,2021-06-30,2021-07-01,2021-07-12,2021-07-13,reverted,282.6,313.95,1400.9,1516.9,10.75413106146496,-8.47784365622101,1.1381437026219752,0.33928719755838643,0.19745247912056532,2021-07-29,False
