strategy,symbol,n_trades,mean_net_pct,total_net_pct
mean_reversion re-test (honest execution) [primary/train],I-FLEX,25,-2.6204792033929847,-65.51198008482461
mean_reversion re-test (honest execution) [primary/train],IBP,3,0.7093153687533044,2.127946106259913
mean_reversion re-test (honest execution) [primary/train],IBPOW,9,-3.0893736483797265,-27.80436283541754
mean_reversion re-test (honest execution) [primary/train],IBREALEST,89,-0.9783950694507291,-87.07716118111489
mean_reversion re-test (honest execution) [primary/train],IBSEC,8,-2.808654473164772,-22.469235785318176
mean_reversion re-test (honest execution) [primary/train],IBULHSGFIN,12,1.1603969306457962,13.924763167749555
mean_reversion re-test (honest execution) [primary/train],ICICIBANK,91,0.06978394130300875,6.350338658573795
mean_reversion re-test (honest execution) [primary/train],ICSA,30,0.4100162659037407,12.30048797711222
mean_reversion re-test (honest execution) [primary/train],IDBI,110,-0.9968979532070147,-109.65877485277161
mean_reversion re-test (honest execution) [primary/train],IDBIBANK,3,-2.4831854546758576,-7.449556364027573
mean_reversion re-test (honest execution) [primary/train],IDEA,76,-1.496434256616331,-113.72900350284115
mean_reversion re-test (honest execution) [primary/train],IDFC,93,-0.5316044722000335,-49.43921591460312
mean_reversion re-test (honest execution) [primary/train],IFCI,97,-1.8100652159414101,-175.57632594631679
mean_reversion re-test (honest execution) [primary/train],IGL,39,0.6781485075247407,26.447791793464884
mean_reversion re-test (honest execution) [primary/train],INDHOTEL,79,-1.0393423057886082,-82.10804215730005
mean_reversion re-test (honest execution) [primary/train],INDIABULLS,50,-2.9803456441778735,-149.01728220889368
mean_reversion re-test (honest execution) [primary/train],INDIACEM,95,-0.4647829311362757,-44.154378457946194
mean_reversion re-test (honest execution) [primary/train],INDIAINFO,33,0.42235071616808867,13.937573633546926
mean_reversion re-test (honest execution) [primary/train],INDIANB,67,-2.232021114912213,-149.54541469911828
mean_reversion re-test (honest execution) [primary/train],INDIGO,2,0.021897703801749824,0.04379540760349965
mean_reversion re-test (honest execution) [primary/train],INDORAMA,2,4.9589277572042905,9.917855514408581
mean_reversion re-test (honest execution) [primary/train],INDRAMEDCO,3,4.549407716256222,13.648223148768666
mean_reversion re-test (honest execution) [primary/train],INDRAYON,1,11.450650793739714,11.450650793739714
mean_reversion re-test (honest execution) [primary/train],INDSWFTLAB,13,-2.4377212794464325,-31.690376632803623
mean_reversion re-test (honest execution) [primary/train],INDUSINDBK,76,0.10540064341145469,8.010448899270557
mean_reversion re-test (honest execution) [primary/train],INFOSYSTCH,43,1.59982331916711,68.79240272418573
