symbol,signal_date,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,shares,gross_pnl_pct,net_pnl_pct,cost_pct
PARSVNATH,2010-02-19,2010-02-19,114.95,103.68066989395776,143.12332526510562,2010-03-04,122.0,time,8,86,6.13310134841234,5.801434318660274,0.33166702975206613
PRAJIND,2010-02-19,2010-02-19,82.1,74.51199213662173,101.07001965844566,2010-03-04,85.85,time,8,121,4.567600487210721,4.238338420584656,0.3292620666260658
PUNJLLOYD,2010-02-19,2010-02-19,173.3,157.971905712255,211.62023571936254,2010-03-04,182.7,time,8,57,5.424120023081347,5.093542148874769,0.3305778742065782
RCOM,2010-02-19,2010-02-19,161.95,149.72854374896454,192.5036406275886,2010-03-04,160.0,time,8,61,-1.2040753318925512,-1.5244708000617393,0.320395468169188
RECLTD,2010-02-19,2010-02-19,214.55,194.9503884942446,263.54902876438854,2010-03-04,240.0,time,8,46,11.862036821253774,11.521568851876006,0.3404679693777674
RELCAPITAL,2010-02-19,2010-02-19,742.45,687.0264231324231,881.0089421689423,2010-03-04,788.0,time,8,13,6.135093272274217,5.803423182476924,0.33167008979729273
RELINFRA,2010-02-19,2010-02-19,1003.2,936.6418786950377,1169.5953032624059,2010-03-04,1007.0,time,8,9,0.37878787878786735,0.05596077499998864,0.3228271037878787
SBIN,2010-02-19,2010-02-19,1905.3,1794.8960897225702,2181.309775693574,2010-03-04,2023.0,time,8,5,6.1775048548784905,5.8457696113053,0.33173524357319056
SYNDIBANK,2010-02-19,2010-02-19,82.2,76.27915106660139,97.00212233349654,2010-03-04,89.0,time,8,121,8.272506082725052,7.937552443795611,0.33495363892944036
TATACOMM,2010-02-19,2010-02-19,297.5,272.77860609269857,359.3034847682536,2010-03-04,288.85,time,8,33,-2.9075630252100804,-3.225341551294114,0.3177785260840337
TATAPOWER,2010-02-19,2010-02-19,1240.35,1160.7910075499049,1439.2474811252375,2010-03-04,1335.0,time,8,8,7.630910630064092,7.296942626750511,0.33396800331358084
TV-18,2010-02-19,2010-02-19,74.45,68.71064183136208,88.79839542159482,2010-03-04,75.8,time,8,134,1.8132975151108122,1.4882666803223636,0.3250308347884486
UNITECH,2010-02-19,2010-02-19,70.2,63.325802472134605,87.3854938196635,2010-03-04,76.0,time,8,142,8.262108262108248,7.927170596581182,0.33493766552706555
VIJAYABANK,2010-02-19,2010-02-19,48.2,44.42672198897313,57.63319502756719,2010-03-04,50.0,time,8,207,3.734439834024883,3.4064576904564183,0.3279821435684647
VOLTAS,2010-02-19,2010-02-19,152.7,139.0807164709227,186.7482088226932,2010-03-04,164.1,time,8,65,7.465618860510803,7.131904782711196,0.3337140777996071
WELGUJ,2010-02-19,2010-02-19,238.6,218.6088409258311,288.5778976854222,2010-03-04,257.7,time,8,41,8.005029337803848,7.670486603604351,0.33454273419949704
WWIL,2010-02-19,2010-02-19,17.3,15.891316181869094,20.821709545327266,2010-03-04,17.65,time,8,578,2.023121387283222,1.6977682156069216,0.32535317167630057
ZEEL,2010-02-19,2010-02-19,250.45,230.25380762404095,300.9404809398976,2010-03-04,278.9,time,8,39,11.35955280495109,11.01985676458375,0.3396960403673388
ARVIND,2010-02-22,2010-02-22,34.8,31.651482980179942,42.67129254955013,2010-03-05,35.9,time,8,287,3.1609195402298784,2.833818453448269,0.32710108678160915
CROMPGREAV,2010-02-22,2010-02-22,397.35,364.95366205737724,478.340844856557,2010-03-05,452.25,time,8,25,13.816534541336356,13.473064021744056,0.343470519592299
FSL,2010-02-22,2010-02-22,28.95,26.371545411591605,35.39613647102099,2010-03-05,28.4,time,8,345,-1.899827288428324,-2.219153924352331,0.31932663592400695
IDEA,2010-02-22,2010-02-22,56.0,51.789079096244976,66.52730225938757,2010-03-05,61.95,time,8,178,10.624999999999996,10.286432398749996,0.33856760125
INDIANB,2010-02-22,2010-02-22,167.05,155.90522799194673,194.9119300201332,2010-02-25,155.90522799194673,stop,3,59,-6.671518711794844,-6.9835149512902985,0.3119962394954543
KFA,2010-02-22,2010-02-22,50.05,45.06665524119972,62.50836189700069,2010-03-05,54.0,time,8,199,7.892107892107902,7.557738630769241,0.3343692613386614
LICHSGFIN,2010-02-22,2010-02-22,732.15,676.9228674142734,870.2178314643164,2010-03-05,800.0,time,8,13,9.2672266612033,8.930744906658466,0.3364817545448337
MAX,2010-02-22,2010-02-22,193.9,175.67337483478263,239.46656291304348,2010-03-05,208.0,time,8,51,7.271789582258892,6.938373270036097,0.3334163122227952
RELIANCE,2010-02-22,2010-02-22,977.95,918.3461545261614,1126.9596136845964,2010-03-05,1022.0,time,8,10,4.504320261772077,4.175155407873616,0.3291648538984612
RIIL,2010-02-22,2010-02-22,809.55,727.4151486855499,1014.8871282861252,2010-03-05,860.0,time,8,12,6.231857204619851,5.900038463553826,0.33181874106602444
ROLTA,2010-02-22,2010-02-22,176.4,160.79891668520193,215.4027082869952,2010-03-05,182.0,time,8,56,3.1746031746031633,2.8474810666666555,0.3271221079365079
TTML,2010-02-22,2010-02-22,23.6,21.894466255589933,27.86383436102517,2010-03-05,24.25,time,8,423,2.754237288135597,2.4277609572033936,0.3264763309322034
UNIONBANK,2010-02-22,2010-02-22,242.55,225.12806382302924,286.10484044242696,2010-03-05,275.0,time,8,41,13.378684807256235,13.035886923809523,0.342797883446712
3IINFOTECH,2010-02-23,2010-02-23,73.35,67.17143350356304,88.79641624109239,2010-03-08,82.35,time,8,136,12.269938650306745,11.928844051533739,0.34109459877300624
ABIRLANUVO,2010-02-23,2010-02-23,807.85,747.1883773339689,959.504056665078,2010-03-08,871.0,time,8,12,7.817045243547693,7.482791295401379,0.33425394814631426
AREVAT&D,2010-02-23,2010-02-23,263.6,243.11532299854025,314.8116925036495,2010-03-08,284.0,time,8,37,7.7389984825493086,7.404864431866455,0.33413405068285285
ASHOKLEY,2010-02-23,2010-02-23,47.0,43.189468355493105,56.52632911126723,2010-03-05,56.52632911126723,target,7,212,20.268785343121777,19.915402708089253,0.3533826350325226
AUSTRAL,2010-02-23,2010-02-23,6.65,5.790843382132942,8.797891544667646,2010-03-08,7.8,time,8,1503,17.29323308270676,16.944421568421046,0.34881151428571433
BAJAJHIND,2010-02-23,2010-02-23,151.85,131.29388078592382,203.24029803519045,2010-03-08,167.6,time,8,65,10.372077708264737,10.03389865281528,0.33817905544945676
CIPLA,2010-02-23,2010-02-23,309.9,289.797679097755,360.15580225561234,2010-03-08,321.5,time,8,32,3.743142949338507,3.4151474358180165,0.32799551352049044
DHAMPURSUG,2010-02-23,2010-02-23,104.05,89.57362566659484,140.24093583351288,2010-03-02,89.57362566659484,stop,4,96,-13.912901810096267,-14.21377364860015,0.3008718385038831
DISHTV,2010-02-23,2010-02-23,37.85,33.73806276661983,48.12984308345043,2010-03-08,40.95,time,8,264,8.19022457067371,7.855397334742402,0.3348272359313078
IFCI,2010-02-23,2010-02-23,48.45,44.321587309280616,58.771031726798476,2010-03-08,55.0,time,8,206,13.519091847265209,13.176078266873052,0.3430135803921569
MOSERBAER,2010-02-23,2010-02-23,73.85,66.95526987140781,91.08682532148046,2010-03-08,82.5,time,8,135,11.712931618144907,11.37269270805689,0.34023891008801627
MRPL,2010-02-23,2010-02-23,73.75,68.46770936296465,86.95572659258836,2010-03-08,79.6,time,8,135,7.9322033898304944,7.597772532745749,0.3344308570847458
NIITLTD,2010-02-23,2010-02-23,65.8,59.683732129702534,81.09066967574364,2010-03-08,67.0,time,8,151,1.823708206686936,1.49866137872341,0.32504682796352585
NOIDATOLL,2010-02-23,2010-02-23,34.8,32.00273307411458,41.79316731471353,2010-03-08,36.5,time,8,287,4.885057471264376,4.555307718965525,0.3297497522988506
