symbol,company_name,index_name,action,announcement_date,effective_date,source_url
BINANICEM,Binani Cement Ltd.,,excluded,2011-05-16,"May 18, 2011",https://www.niftyindices.com/Press_Release/ind_prs16052011.pdf
IL&FSENGG,IL&FS Engineering and Construction Company Ltd.,,included,2011-05-16,"May 18, 2011",https://www.niftyindices.com/Press_Release/ind_prs16052011.pdf
CHENNPETRO,Chennai Petroleum Corporation Limited,,excluded,2011-06-07,"July 25, 2011",https://www.niftyindices.com/Press_Release/ind_prs07062011.pdf
ADANIPOWER,Adani Power Limited,,included,2011-06-07,"July 25, 2011",https://www.niftyindices.com/Press_Release/ind_prs07062011.pdf
TV-18,Television Eighteen India Limited,CNX Smallcap Index,excluded,2011-06-16,"June 21, 2011",https://www.niftyindices.com/Press_Release/ind_prs16062011.pdf
TTKPRESTIG,TTK Prestige Limited,CNX Smallcap Index,included,2011-06-16,"June 21, 2011",https://www.niftyindices.com/Press_Release/ind_prs16062011.pdf
TV-18,Television Eighteen India Limited,S&P CNX 500 Index,excluded,2011-06-16,"June 21, 2011",https://www.niftyindices.com/Press_Release/ind_prs16062011.pdf
IBREALEST,Indiabulls Real Estate Limited,S&P CNX 500 Index,included,2011-06-16,"June 21, 2011",https://www.niftyindices.com/Press_Release/ind_prs16062011.pdf
NAGARFERT,Nagarjuna Fertilizers & Chemicals Ltd.,CNX Smallcap Index,excluded,2011-08-19,"August 29, 2011",https://www.niftyindices.com/Press_Release/ind_prs19082011.pdf
KWALITY,Kwality Dairy (India) Ltd.,CNX Smallcap Index,included,2011-08-19,"August 29, 2011",https://www.niftyindices.com/Press_Release/ind_prs19082011.pdf
NAGARFERT,Nagarjuna Fertilizers & Chemicals Ltd.,S&P CNX 500 Index,excluded,2011-08-19,"August 29, 2011",https://www.niftyindices.com/Press_Release/ind_prs19082011.pdf
DISHTV,Dish TV India Ltd.,S&P CNX 500 Index,included,2011-08-19,"August 29, 2011",https://www.niftyindices.com/Press_Release/ind_prs19082011.pdf
PATNI,Patni Computer Systems Ltd.,CNX 100 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
PUNJLLOYD,Punj Lloyd Ltd.,CNX 100 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
SYNDIBANK,Syndicate Bank,CNX 100 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
BOSCHLTD,Bosch Ltd.,CNX 100 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
DABUR,Dabur India Ltd.,CNX 100 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
IDEA,Idea Cellular Ltd.,CNX 100 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
ORIENTBANK,Oriental Bank of Commerce,CNX Bank Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
INDUSINDBK,IndusInd Bank Ltd.,CNX Bank Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,CNX FMCG Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
MCLEODRUSS,McLeod Russel India Ltd.,CNX FMCG Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
3IINFOTECH,3i Infotech Ltd.,CNX IT Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
HEXAWARE,Hexaware Technologies Ltd.,CNX IT Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
DLF,DLF Ltd.,CNX Infrastructure Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
INDHOTEL,Indian Hotels Co. Ltd.,CNX Infrastructure Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
UNITECH,Unitech Ltd.,CNX Infrastructure Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
ADANIPOWER,Adani Power Ltd.,CNX Infrastructure Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
NHPC,NHPC Ltd.,CNX Infrastructure Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
VOLTAS,Voltas Ltd.,CNX Infrastructure Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
CASTROL,Castrol (India) Ltd.,CNX MNC Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
KSK,KSK Energy Ventures Ltd.,CNX MNC Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
AMBUJACEM,Ambuja Cements Ltd.,CNX MNC Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
STER,Sterlite Industries (India) Ltd.,CNX MNC Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
ACKRUTI,Ackruti City Ltd.,CNX Midcap Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
ANANTRAJ,Anant Raj Industries Ltd.,CNX Midcap Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
MAHABANK,Bank of Maharashtra,CNX Midcap Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
DCHL,Deccan Chronicle Holdings Ltd.,CNX Midcap Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
GILLETTE,Gillette India Ltd.,CNX Midcap Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
JETAIRWAYS,Jet Airways (India) Ltd.,CNX Midcap Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
KSK,KSK Energy Ventures Ltd.,CNX Midcap Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
LUPIN,Lupin Ltd.,CNX Midcap Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
PATNI,Patni Computer Systems Ltd.,CNX Midcap Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
BEL,Bharat Electronics Ltd.,CNX Midcap Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
