symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct,short_contract_expiry,rolled_forward_at_entry
RELIANCE,GAIL,GAIL,RELIANCE,2012-11-01,2012-11-02,2012-11-06,2012-11-07,reverted,346.1,364.9,816.2,812.05,5.101366169893084,0.31889019848077615,2.7101281841869302,0.3305899121641144,0.18956361185983828,2012-11-29,False
RELIANCE,ONGC,ONGC,RELIANCE,2012-12-12,2012-12-13,2012-12-20,2012-12-21,reverted,260.5,264.9,838.15,836.0,1.3642195238387562,0.0667275797888196,0.7154735518137879,0.32483997712092133,0.1897897500447414,2012-12-27,False
RELIANCE,GAIL,GAIL,RELIANCE,2012-12-04,2012-12-05,2012-12-11,2012-12-12,reverted,353.5,354.35,833.75,828.2,-0.08216197287127108,0.4762446692653592,0.19704134819704405,0.3226145895615276,0.18942249715142429,2012-12-27,False
ONGC,GAIL,ONGC,GAIL,2012-12-24,2012-12-26,2012-12-27,2012-12-28,reverted,258.0,260.05,354.55,350.2,0.4711077987209449,1.037988619376684,0.7545482090488145,0.32346584468992257,0.1889187279650261,2013-01-31,True
RELIANCE,ONGC,RELIANCE,ONGC,2013-01-04,2013-01-07,2013-01-31,2013-01-31,rollover,865.7,896.65,288.2,339.7,3.247404078653112,-18.075594739764043,-7.414095330555465,0.3277374253321012,0.20605969465648852,2013-01-31,False
RELIANCE,GAIL,GAIL,RELIANCE,2013-01-22,2013-01-23,2013-01-31,2013-02-01,window_end,370.8,343.3,933.55,894.75,-7.727248917637534,3.969888615499973,-1.8786801510687807,0.3108519381337648,0.1862894146001821,2013-02-28,True
ONGC,GAIL,GAIL,ONGC,2013-01-03,2013-01-04,2013-01-31,2013-01-31,rollover,362.4,339.0,280.25,339.7,-6.7692795023178745,-21.422263468331835,-14.095771485324855,0.31232585993377476,0.2090609705619982,2013-01-31,False
RELIANCE,ONGC,RELIANCE,ONGC,2013-02-19,2013-02-20,2013-02-21,2013-02-22,reverted,857.95,858.5,332.75,323.0,-0.25823738186374817,2.74273780616078,1.242250212148516,0.3223436817646716,0.1873899173553719,2013-03-28,True
RELIANCE,HINDPETRO,HINDPETRO,RELIANCE,2013-02-28,2013-03-01,2013-02-28,,no_fill,,,822.55,,,,,,,2013-03-28,False
ONGC,HINDPETRO,HINDPETRO,ONGC,2013-01-31,2013-02-01,2013-02-06,2013-02-07,reverted,312.0,330.95,341.5,321.35,5.742142145288451,5.715715472913614,5.728928809101033,0.33157580342948717,0.18472376573938507,2013-02-28,False
ONGC,HINDPETRO,HINDPETRO,ONGC,2013-02-19,2013-02-20,2013-02-25,2013-02-26,reverted,312.45,310.75,332.75,315.6,-0.8654964132501128,4.968625782118702,2.0515646844342945,0.32140935932149145,0.1853937520661157,2013-03-28,True
ONGC,HINDPETRO,HINDPETRO,ONGC,2013-02-28,2013-03-01,2013-02-28,,no_fill,,,312.15,,,,,,,2013-03-28,False
RELIANCE,ONGC,ONGC,RELIANCE,2013-03-20,2013-03-21,2013-03-25,2013-03-26,reverted,301.55,301.0,832.95,810.0,-0.5043559861714524,2.5677205510534935,1.0316822824410206,0.3219650062344553,0.1875468719611021,2013-04-25,True
RELIANCE,ONGC,RELIANCE,ONGC,2013-03-28,2013-04-01,2013-03-28,,no_fill,,,315.75,,,,,,,2013-04-25,False
RELIANCE,BPCL,RELIANCE,BPCL,2013-03-28,2013-04-01,2013-03-28,,no_fill,,,378.1,,,,,,,2013-04-25,False
