symbol,first,last,rows,span_days,gap_rate
LICHSGFIN,2003-01-01,2026-08-13,5822,5822,0.0
LODHA,2021-04-19,2026-08-13,1320,1320,0.0
LT,2003-01-01,2026-08-13,5822,5822,0.0
LTF,2011-08-12,2026-08-13,3703,3703,0.0
LTM,2016-07-21,2026-08-13,2490,2490,0.0
LUPIN,2003-01-01,2026-08-13,5822,5822,0.0
M&M,2003-01-01,2026-08-13,5822,5822,0.0
M&MFIN,2006-03-17,2026-08-13,5042,5042,0.0
MANAPPURAM,2010-06-30,2026-08-13,3987,3987,0.0
MANKIND,2023-05-09,2026-08-13,811,811,0.0
MARICO,2003-01-01,2026-08-13,5822,5822,0.0
MARUTI,2003-07-09,2026-08-13,5693,5693,0.0
MAZDOCK,2017-12-04,2026-08-13,1456,2152,0.3234200743494424
MCX,2012-03-09,2026-08-13,3565,3565,0.0
MEESHO,2025-12-10,2026-08-13,166,166,0.0
MFSL,2000-05-02,2026-08-13,6427,6491,0.009859805885071626
MOTHERSON,2003-01-01,2026-08-13,5822,5822,0.0
MOTILALOFS,2007-09-11,2026-08-13,4673,4673,0.0
MPHASIS,2003-01-01,2026-08-13,5822,5822,0.0
MRF,2003-01-01,2026-08-13,5822,5822,0.0
MRPL,2003-01-01,2026-08-13,5822,5822,0.0
MUTHOOTFIN,2011-05-06,2026-08-13,3773,3773,0.0
NATCOPHARM,2003-01-01,2026-08-13,5822,5822,0.0
NATIONALUM,2003-01-01,2026-08-13,5822,5822,0.0
NAUKRI,2006-11-21,2026-08-13,4873,4873,0.0
NAVINFLUOR,2007-06-01,2026-08-13,4744,4744,0.0
NBCC,2012-04-12,2026-08-13,3543,3543,0.0
NESTLEIND,2010-01-08,2026-08-13,4104,4104,0.0
NETWEB,2023-07-27,2026-08-13,755,755,0.0
NEULANDLAB,2003-01-01,2026-08-13,5822,5822,0.0
NH,2016-01-06,2026-08-13,2623,2623,0.0
NHPC,2009-09-01,2026-08-13,4188,4188,0.0
NMDC,2008-03-03,2026-08-13,4552,4552,0.0
NTPC,2004-11-05,2026-08-13,5380,5380,0.0
NUVAMA,2023-09-26,2026-08-13,714,714,0.0
NYKAA,2021-11-10,2026-08-13,1180,1180,0.0
OBEROIRLTY,2010-10-20,2026-08-13,3908,3908,0.0
OFSS,2003-01-01,2026-08-13,5822,5822,0.0
OIL,2009-09-30,2026-08-13,4169,4169,0.0
OLAELEC,2024-08-09,2026-08-13,498,498,0.0
ONGC,2003-01-01,2026-08-13,5822,5822,0.0
PAGEIND,2007-03-16,2026-08-13,4795,4795,0.0
PATANJALI,2020-01-27,2026-08-13,1625,1625,0.0
PAYTM,2021-11-18,2026-08-13,1174,1174,0.0
PERSISTENT,2010-04-06,2026-08-13,4047,4047,0.0
PFC,2007-02-23,2026-08-13,4810,4810,0.0
PGEL,2011-09-26,2026-08-13,3675,3675,0.0
PHOENIXLTD,2007-04-23,2026-08-13,4771,4771,0.0
