date,reserve_type,currency,value
1998-08-01,Reserve Tranche Position,₹ Crores,
1998-08-01,Reserve Tranche Position,US $ Millions,
1998-08-01,SDRs,SDRs Millions,
1998-07-01,Reserve Tranche Position,₹ Crores,
1998-07-01,Reserve Tranche Position,US $ Millions,
1998-07-01,SDRs,SDRs Millions,
1998-06-01,Reserve Tranche Position,₹ Crores,
1998-06-01,Reserve Tranche Position,US $ Millions,
1998-06-01,SDRs,SDRs Millions,
1998-04-01,Reserve Tranche Position,₹ Crores,
1998-04-01,Reserve Tranche Position,US $ Millions,
1998-04-01,SDRs,SDRs Millions,
1998-03-01,Reserve Tranche Position,₹ Crores,
1998-03-01,Reserve Tranche Position,US $ Millions,
1998-03-01,SDRs,SDRs Millions,
1998-02-01,Reserve Tranche Position,₹ Crores,
1998-02-01,Reserve Tranche Position,US $ Millions,
1998-02-01,SDRs,SDRs Millions,
1998-01-01,Reserve Tranche Position,₹ Crores,
1998-01-01,Reserve Tranche Position,US $ Millions,
1998-01-01,SDRs,SDRs Millions,
1997-12-01,Reserve Tranche Position,₹ Crores,
1997-12-01,Reserve Tranche Position,US $ Millions,
1997-12-01,SDRs,SDRs Millions,
1997-10-01,Reserve Tranche Position,₹ Crores,
1997-10-01,Reserve Tranche Position,US $ Millions,
1997-10-01,SDRs,SDRs Millions,
1997-09-01,Reserve Tranche Position,₹ Crores,
1997-09-01,Reserve Tranche Position,US $ Millions,
1997-09-01,SDRs,SDRs Millions,
1997-08-01,Reserve Tranche Position,₹ Crores,
1997-08-01,Reserve Tranche Position,US $ Millions,
1997-08-01,SDRs,SDRs Millions,
1997-07-01,Reserve Tranche Position,₹ Crores,
1997-07-01,Reserve Tranche Position,US $ Millions,
1997-07-01,SDRs,SDRs Millions,
1997-06-01,Reserve Tranche Position,₹ Crores,
1997-06-01,Reserve Tranche Position,US $ Millions,
1997-06-01,SDRs,SDRs Millions,
1997-04-01,Reserve Tranche Position,₹ Crores,
1997-04-01,Reserve Tranche Position,US $ Millions,
1997-04-01,SDRs,SDRs Millions,
1997-03-01,Reserve Tranche Position,₹ Crores,
1997-03-01,Reserve Tranche Position,US $ Millions,
1997-03-01,SDRs,SDRs Millions,
1997-02-01,Reserve Tranche Position,₹ Crores,
1997-02-01,Reserve Tranche Position,US $ Millions,
1997-02-01,SDRs,SDRs Millions,
1997-01-01,Reserve Tranche Position,₹ Crores,
1997-01-01,Reserve Tranche Position,US $ Millions,
1997-01-01,SDRs,SDRs Millions,
1996-12-01,Reserve Tranche Position,₹ Crores,
1996-12-01,Reserve Tranche Position,US $ Millions,
1996-12-01,SDRs,SDRs Millions,
1996-10-01,Reserve Tranche Position,₹ Crores,
1996-10-01,Reserve Tranche Position,US $ Millions,
1996-10-01,SDRs,SDRs Millions,
1996-09-01,Reserve Tranche Position,₹ Crores,
1996-09-01,Reserve Tranche Position,US $ Millions,
1996-09-01,SDRs,SDRs Millions,
1996-08-01,Reserve Tranche Position,₹ Crores,
1996-08-01,Reserve Tranche Position,US $ Millions,
1996-08-01,SDRs,SDRs Millions,
1996-07-01,Reserve Tranche Position,₹ Crores,
1996-07-01,Reserve Tranche Position,US $ Millions,
1996-07-01,SDRs,SDRs Millions,
1996-06-01,Reserve Tranche Position,₹ Crores,
1996-06-01,Reserve Tranche Position,US $ Millions,
1996-06-01,SDRs,SDRs Millions,
1996-04-01,Reserve Tranche Position,₹ Crores,
1996-04-01,Reserve Tranche Position,US $ Millions,
1996-04-01,SDRs,SDRs Millions,
1996-03-01,Reserve Tranche Position,₹ Crores,
1996-03-01,Reserve Tranche Position,US $ Millions,
1996-03-01,SDRs,SDRs Millions,
1996-02-01,Reserve Tranche Position,₹ Crores,
1996-02-01,Reserve Tranche Position,US $ Millions,
1996-02-01,SDRs,SDRs Millions,
1996-01-01,Reserve Tranche Position,₹ Crores,
1996-01-01,Reserve Tranche Position,US $ Millions,
1996-01-01,SDRs,SDRs Millions,
