date,series,sector,index,inflation
2026-03-01,Current,Urban,104.86,3.25
2026-03-01,Current,Combined,105.1,3.43
2026-03-01,Current,Rural,106.11,3.6
2026-03-01,Current,Urban,104.5,2.8
2026-03-01,Current,Combined,105.52,3.31
2026-03-01,Current,Rural,103.92,2.97
2026-03-01,Current,Urban,103.77,2.66
2026-03-01,Current,Combined,103.85,2.84
2026-02-01,Current,Rural,104.74,3.37
2026-02-01,Current,Urban,104.36,3.02
2026-02-01,Current,Combined,104.57,3.21
2026-02-01,Current,Rural,106.95,5.04
2026-02-01,Current,Urban,105.34,3.04
2026-02-01,Current,Combined,106.16,4.06
2026-02-01,Current,Rural,104.03,3.24
2026-02-01,Current,Urban,104.44,3.8
2026-02-01,Current,Combined,104.19,3.45
2026-02-01,Current,Rural,102.9,1.93
2026-02-01,Current,Urban,103.21,1.81
2026-02-01,Current,Combined,102.98,1.9
2026-02-01,Current,Rural,103.41,2.4
2026-02-01,Current,Urban,102.72,2.04
2026-02-01,Current,Combined,103.26,2.33
2026-02-01,Current,Rural,104.09,3.08
2026-02-01,Current,Urban,102.41,1.48
2026-02-01,Current,Combined,103.85,2.85
2026-02-01,Current,Urban,103.79,2.71
2026-02-01,Current,Combined,103.79,2.71
2026-02-01,Current,Rural,102.13,2.02
2026-02-01,Current,Urban,101.72,1.39
2026-02-01,Current,Combined,101.99,1.8
2026-02-01,Current,Rural,103.41,1.56
2026-02-01,Current,Urban,103.95,2.52
2026-02-01,Current,Combined,103.76,2.18
2026-02-01,Current,Rural,103.96,3.11
2026-02-01,Current,Urban,103.59,2.57
2026-02-01,Current,Combined,103.74,2.79
2026-02-01,Current,Rural,104.61,2.86
2026-02-01,Current,Urban,104.44,2.8
2026-02-01,Current,Combined,104.52,2.83
2026-02-01,Current,Rural,104.67,2.79
2026-02-01,Current,Urban,105.36,3.77
2026-02-01,Current,Combined,104.78,2.94
2026-02-01,Current,Rural,104.63,1.77
2026-02-01,Current,Urban,103.83,2.09
2026-02-01,Current,Combined,104.4,1.86
2026-02-01,Current,Rural,104.42,3.17
2026-02-01,Current,Urban,102.5,1.6
2026-02-01,Current,Combined,103.76,2.63
2026-02-01,Current,Rural,105.71,3.43
2026-02-01,Current,Urban,105.08,3.25
2026-02-01,Current,Combined,105.39,3.34
2026-02-01,Current,Rural,106.17,3.97
2026-02-01,Current,Urban,104.85,3.11
2026-02-01,Current,Combined,105.44,3.49
2026-02-01,Current,Rural,105.46,1.65
2026-02-01,Current,Urban,104.91,1.26
2026-02-01,Current,Combined,105.32,1.55
2026-02-01,Current,Rural,104.68,2.92
2026-02-01,Current,Urban,105.68,3.86
2026-02-01,Current,Combined,105.4,3.6
2026-02-01,Current,Rural,104.57,3.41
2026-02-01,Current,Urban,104.2,3.45
2026-02-01,Current,Combined,104.43,3.43
