date,age_group,gender,sector,unemployment_rate_pct
2026-03-01,15 years and above,male,urban,6.1
2026-03-01,15 years and above,male,urban,6.1
2026-03-01,All ages,male,urban,6.1
2026-03-01,15-29 years,male,rural + urban,14.3
2026-03-01,15-29 years,male,rural + urban,14.3
2026-03-01,15 years and above,male,rural + urban,5.0
2026-03-01,15 years and above,male,rural + urban,5.0
2026-03-01,All ages,male,rural + urban,5.0
2026-03-01,15-29 years,female,rural,14.8
2026-03-01,15-29 years,female,rural,14.8
2026-03-01,15 years and above,female,rural,4.1
2026-03-01,15 years and above,female,rural,4.1
2026-03-01,All ages,female,rural,4.1
2026-03-01,15-29 years,female,urban,24.5
2026-03-01,15-29 years,female,urban,24.5
2026-03-01,15 years and above,female,urban,9.0
2026-03-01,15 years and above,female,urban,9.0
2026-03-01,All ages,female,urban,9.0
2026-03-01,15-29 years,female,rural + urban,17.7
2026-03-01,15-29 years,female,rural + urban,17.7
2026-03-01,15 years and above,female,rural + urban,5.3
2026-03-01,15 years and above,female,rural + urban,5.3
2026-03-01,All ages,female,rural + urban,5.3
2026-03-01,15-29 years,person,rural,13.6
2026-03-01,15-29 years,person,rural,13.6
2026-03-01,15 years and above,person,rural,4.3
2026-03-01,15 years and above,person,rural,4.3
2026-03-01,All ages,person,rural,4.3
2026-03-01,15-29 years,person,urban,18.4
2026-03-01,15-29 years,person,urban,18.4
2026-03-01,15 years and above,person,urban,6.8
2026-03-01,15 years and above,person,urban,6.8
2026-03-01,All ages,person,urban,6.8
2026-03-01,15-29 years,person,rural + urban,15.2
2026-03-01,15-29 years,person,rural + urban,15.2
2026-03-01,15 years and above,person,rural + urban,5.1
2026-03-01,15 years and above,person,rural + urban,5.1
2026-03-01,All ages,person,rural + urban,5.1
2026-02-01,15-29 years,male,rural,12.5
2026-02-01,15 years and above,male,rural,4.2
2026-02-01,All ages,male,rural,4.3
2026-02-01,15-29 years,male,urban,16.1
2026-02-01,15 years and above,male,urban,5.9
2026-02-01,All ages,male,urban,5.9
2026-02-01,15-29 years,male,rural + urban,13.7
2026-02-01,15 years and above,male,rural + urban,4.8
2026-02-01,All ages,male,rural + urban,4.8
2026-02-01,15-29 years,female,rural,14.6
2026-02-01,15 years and above,female,rural,4.0
2026-02-01,All ages,female,rural,4.0
2026-02-01,15-29 years,female,urban,24.9
2026-02-01,15 years and above,female,urban,8.7
2026-02-01,All ages,female,urban,8.7
2026-02-01,15-29 years,female,rural + urban,17.6
2026-02-01,15 years and above,female,rural + urban,5.1
2026-02-01,All ages,female,rural + urban,5.1
2026-02-01,15-29 years,person,rural,13.1
2026-02-01,15 years and above,person,rural,4.2
2026-02-01,All ages,person,rural,4.2
2026-02-01,15-29 years,person,urban,18.3
2026-02-01,15 years and above,person,urban,6.6
2026-02-01,All ages,person,urban,6.6
2026-02-01,15-29 years,person,rural + urban,14.8
2026-02-01,15 years and above,person,rural + urban,4.9
2026-02-01,All ages,person,rural + urban,4.9
2026-01-01,15-29 years,male,rural,12.3
2026-01-01,15 years and above,male,rural,4.1
2026-01-01,All ages,male,rural,4.1
2026-01-01,15-29 years,male,urban,16.0
2026-01-01,15 years and above,male,urban,6.0
2026-01-01,All ages,male,urban,6.0
2026-01-01,15-29 years,male,rural + urban,13.6
2026-01-01,15 years and above,male,rural + urban,4.8
2026-01-01,All ages,male,rural + urban,4.8
2026-01-01,15-29 years,female,rural,14.2
2026-01-01,15 years and above,female,rural,4.3
2026-01-01,All ages,female,rural,4.3
2026-01-01,15-29 years,female,urban,26.4
2026-01-01,15 years and above,female,urban,9.8
2026-01-01,All ages,female,urban,9.8
2026-01-01,15-29 years,female,rural + urban,17.8
2026-01-01,15 years and above,female,rural + urban,5.6
2026-01-01,All ages,female,rural + urban,5.6
2026-01-01,15-29 years,person,rural,12.8
2026-01-01,15 years and above,person,rural,4.2
2026-01-01,All ages,person,rural,4.2
2026-01-01,15-29 years,person,urban,18.6
2026-01-01,15 years and above,person,urban,7.0
2026-01-01,All ages,person,urban,7.0
2026-01-01,15-29 years,person,rural + urban,14.7
2026-01-01,15 years and above,person,rural + urban,5.0
2026-01-01,All ages,person,rural + urban,5.0
