date,cash,positions_value,equity,n_open
2012-01-05,50000.0,0.0,50000.0,0
2012-01-06,50000.0,0.0,50000.0,0
2012-01-09,50000.0,0.0,50000.0,0
2012-01-10,50000.0,0.0,50000.0,0
2012-01-11,50000.0,0.0,50000.0,0
2012-01-12,50000.0,0.0,50000.0,0
2012-01-13,50000.0,0.0,50000.0,0
2012-01-16,50000.0,0.0,50000.0,0
2012-01-17,50000.0,0.0,50000.0,0
2012-01-18,50000.0,0.0,50000.0,0
2012-01-19,50000.0,0.0,50000.0,0
2012-01-20,50000.0,0.0,50000.0,0
2012-01-23,50000.0,0.0,50000.0,0
2012-01-24,50000.0,0.0,50000.0,0
2012-01-25,50000.0,0.0,50000.0,0
2012-01-27,50000.0,0.0,50000.0,0
2012-01-30,50000.0,0.0,50000.0,0
2012-01-31,50000.0,0.0,50000.0,0
2012-02-01,50000.0,0.0,50000.0,0
2012-02-02,50000.0,0.0,50000.0,0
2012-02-03,50000.0,0.0,50000.0,0
2012-02-06,50000.0,0.0,50000.0,0
2012-02-07,50000.0,0.0,50000.0,0
2012-02-08,50000.0,0.0,50000.0,0
2012-02-09,50000.0,0.0,50000.0,0
2012-02-10,50000.0,0.0,50000.0,0
2012-02-13,50000.0,0.0,50000.0,0
2012-02-14,50000.0,0.0,50000.0,0
2012-02-15,50000.0,0.0,50000.0,0
2012-02-16,50000.0,0.0,50000.0,0
2012-02-17,50000.0,0.0,50000.0,0
2012-02-21,50000.0,0.0,50000.0,0
2012-02-22,50000.0,0.0,50000.0,0
2012-02-23,50000.0,0.0,50000.0,0
2012-02-24,50000.0,0.0,50000.0,0
2012-02-27,50000.0,0.0,50000.0,0
2012-02-28,50000.0,0.0,50000.0,0
2012-02-29,50000.0,0.0,50000.0,0
2012-03-01,50000.0,0.0,50000.0,0
2012-03-02,50000.0,0.0,50000.0,0
2012-03-05,50000.0,0.0,50000.0,0
2012-03-06,50000.0,0.0,50000.0,0
2012-03-07,50000.0,0.0,50000.0,0
2012-03-09,50000.0,0.0,50000.0,0
2012-03-12,50000.0,0.0,50000.0,0
2012-03-13,50000.0,0.0,50000.0,0
2012-03-14,50000.0,0.0,50000.0,0
2012-03-15,50000.0,0.0,50000.0,0
2012-03-16,50000.0,0.0,50000.0,0
2012-03-19,50000.0,0.0,50000.0,0
2012-03-20,50000.0,0.0,50000.0,0
2012-03-21,50000.0,0.0,50000.0,0
2012-03-22,50000.0,0.0,50000.0,0
2012-03-23,50000.0,0.0,50000.0,0
2012-03-26,50000.0,0.0,50000.0,0
2012-03-27,50000.0,0.0,50000.0,0
2012-03-28,50000.0,0.0,50000.0,0
