symbol,sector,signal_date,entry_date,entry_price,shares,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,gross_pnl_pct,net_pnl_pct,cost_rupees
LAURUSLABS,Pharma,2022-03-11,2022-03-14,583.65,15,541.8890759822793,688.0523100443016,2022-03-24,608.0,time,7,4.1720209029384,3.843366535954763,28.772868193499995
HCLTECH,IT,2022-03-14,2022-03-15,1207.0,7,1144.1336336251252,1364.1659159371873,2022-03-25,1199.0,time,7,-0.6628003314001707,-0.9840273202982652,27.140468292000005
PRESTIGE,Realty,2022-03-16,2022-03-17,463.95,18,421.4149224676973,570.2876938307567,2022-03-29,490.45,time,7,5.711822394654598,5.380802544584547,27.643798699200005
DELTACORP,Unknown:DELTACORP,2022-03-21,2022-03-22,312.75,27,286.4887432410984,378.40314189725393,2022-03-31,324.9,time,7,3.8848920863309377,3.5566788141007217,27.7151492403
GRANULES,Unknown:GRANULES,2022-03-21,2022-03-22,313.75,27,290.289481628766,372.40129592808495,2022-03-31,309.9,time,7,-1.2270916334661375,-1.5474517433944244,27.138505812300004
ADANIPOWER,Power,2022-03-28,2022-03-29,154.65,56,140.84867410513058,189.15331473717356,2022-04-01,189.15331473717356,target,3,22.310581789313645,21.954062493493776,30.875997095184033
ALKEM,Pharma,2022-03-30,2022-03-31,3690.0,2,3492.7531167713055,4183.117208071737,2022-04-01,3492.7531167713055,stop,1,-5.345443989937526,-5.65947737989864,23.175664179130234
FORTIS,Pharma,2022-03-24,2022-03-25,280.6,31,260.6750885276532,330.4122786808671,2022-04-05,278.9,time,7,-0.6058446186742894,-0.9271591044191219,27.949861857000002
ZEEL,Unknown:ZEEL,2022-03-24,2022-03-25,303.0,28,271.86312313545744,380.84219216135637,2022-04-05,304.5,time,7,0.4950495049504955,0.1720437970297034,27.40380426
ADANIENT,Diversified,2022-03-30,2022-03-31,2005.0,4,1883.6537967458569,2308.365508135358,2022-04-11,2181.85,time,7,8.820448877805486,8.48465347490773,26.930791312399997
GAIL,Oil & Gas,2022-04-01,2022-04-04,163.6,56,153.70495089371454,188.3376227657136,2022-04-13,167.95,time,7,2.6589242053789652,2.3325942968826325,29.8970408968
POWERGRID,Power,2022-04-01,2022-04-04,226.0,40,214.17849516463605,255.55376208840988,2022-04-13,234.95,time,7,3.9601769911504325,3.6318480642920252,29.680934988000004
CHAMBLFERT,Chemicals,2022-04-04,2022-04-05,467.9,19,431.07541540464575,559.9614614883856,2022-04-18,475.0,time,7,1.5174182517631918,1.1928419543919586,28.8551574126
HDFCLIFE,Insurance,2022-04-04,2022-04-05,572.0,16,535.5737063304778,663.0657341738056,2022-04-18,560.5,time,7,-2.0104895104895104,-2.329646144230769,29.209215120000003
SBILIFE,Insurance,2022-04-18,2022-04-19,1184.95,7,1122.4809939254824,1341.122515186294,2022-04-19,1122.4809939254824,stop,0,-5.271868523947654,-5.586014942452584,26.057345902519177
CHOLAFIN,Financial Services,2022-04-08,2022-04-11,747.0,12,693.8771016173642,879.8072459565894,2022-04-22,719.8,time,7,-3.6412315930388295,-3.957883038393582,28.3846355616
JUSTDIAL,Unknown:JUSTDIAL,2022-04-12,2022-04-13,897.45,10,826.4775947300732,1074.8810131748173,2022-04-26,867.05,time,7,-3.3873753412446472,-3.7044167671736683,28.452882770000002
REDINGTON,IT,2022-04-13,2022-04-18,165.7,56,151.61313610738836,200.91715973152907,2022-04-27,157.5,time,7,-4.948702474351229,-5.263345348943867,29.1963416192
RIIL,Unknown:RIIL,2022-04-13,2022-04-18,970.0,9,885.2591508640622,1181.8521228398445,2022-04-27,938.0,time,7,-3.298969072164948,-3.616146310103092,27.689572872
IOC,Oil & Gas,2022-04-19,2022-04-20,131.0,70,124.26826622831905,147.82933442920236,2022-04-29,131.4,time,7,0.3053435114503955,-0.01737076519082592,29.592899168000002
BIOCON,Pharma,2022-04-21,2022-04-22,373.9,24,351.3572897391406,430.25677565214846,2022-05-04,373.0,time,7,-0.24070607114200504,-0.5625814922171588,28.883812785599996
ABCAPITAL,Financial Services,2022-04-27,2022-04-28,121.9,73,113.38521573402852,143.18696066492873,2022-05-04,113.38521573402852,stop,3,-6.985056821961844,-7.296571396060468,27.720747405314334
DABUR,FMCG,2022-04-28,2022-04-29,575.0,15,549.1154825535812,639.7112936160471,2022-05-04,549.1154825535812,stop,2,-4.501655208072841,-4.816984848299164,27.197181469520366
CHOLAFIN,Financial Services,2022-04-26,2022-04-27,758.8,11,705.276818458311,892.6079538542224,2022-05-06,705.276818458311,stop,6,-7.0536612469279,-7.365070429125177,25.99270161964231
HEROMOTOCO,Auto,2022-04-27,2022-04-28,2539.8,3,2385.2108268047496,2926.2729329881267,2022-05-10,2485.0,time,7,-2.1576502086778526,-2.4765807703283764,24.3005952144
TATACHEM,Chemicals,2022-05-02,2022-05-04,1040.45,8,972.0182725456414,1211.5293186358967,2022-05-10,972.0182725456414,stop,4,-6.577127921030201,-6.889269166112589,25.981388675677607
PETRONET,Unknown:PETRONET,2022-05-04,2022-05-05,216.0,39,205.98771017895425,241.03072455261437,2022-05-12,205.98771017895425,stop,5,-4.635319361595258,-4.9504436634736715,26.546071190237594
TORNTPHARM,Pharma,2022-05-26,2022-05-27,2915.0,2,2721.456342085863,3398.859144785343,2022-06-07,2762.0,time,7,-5.248713550600348,-5.5628955403773634,18.316810003999997
CROMPTON,Consumer Durables,2022-06-02,2022-06-03,372.6,22,347.06005507648666,436.4498623087835,2022-06-09,347.06005507648666,stop,4,-6.854520913449635,-7.16623602020485,25.55191073093848
SBILIFE,Insurance,2022-05-31,2022-06-01,1162.0,7,1094.7135143095654,1330.2162142260863,2022-06-10,1154.75,time,7,-0.6239242685025848,-0.9452109798192802,26.1334610985
ICICIPRULI,Unknown:ICICIPRULI,2022-06-01,2022-06-02,547.9,15,513.440634938431,634.0484126539224,2022-06-13,544.0,time,7,-0.7118087242197424,-1.032960425150569,26.393852541
BOMDYEING,Unknown:BOMDYEING,2022-06-02,2022-06-03,120.65,69,106.87345499306075,155.09136251734816,2022-06-13,106.87345499306075,stop,6,-11.418603404010986,-11.723307048578056,25.36612135474171
EICHERMOT,Auto,2022-06-23,2022-06-24,2837.85,2,2671.867839343446,3252.805401641384,2022-07-05,2815.0,time,7,-0.8051870253889315,-1.1261952761456664,18.2194652882
TVSMOTOR,Auto,2022-06-24,2022-06-27,810.85,9,769.3853874275893,914.5115314310268,2022-07-06,817.0,time,7,0.75846334093852,0.4350529698341234,23.6013569469
LINDEINDIA,Unknown:LINDEINDIA,2022-06-28,2022-06-29,3214.0,2,2931.2793182417545,3920.8017043956133,2022-07-08,3470.0,time,7,7.965152457996272,7.630670983696334,21.500469168000002
BRITANNIA,FMCG,2022-07-01,2022-07-04,3575.0,2,3386.640587170704,4045.89853207324,2022-07-13,3731.05,time,7,4.365034965034975,4.0360840848307795,23.519987934600003
RECLTD,Financial Services,2022-07-04,2022-07-05,129.8,63,123.64905501205116,145.17736246987215,2022-07-13,123.64905501205116,stop,6,-4.738786585476773,-5.053751938315712,25.755976763051425
GODREJCP,FMCG,2022-07-04,2022-07-05,821.35,9,769.7409189912803,950.3727025217993,2022-07-14,878.0,time,7,6.897181469531866,6.564340640031652,24.6040933779
SBICARD,Financial Services,2022-07-05,2022-07-06,814.0,9,763.281982388593,940.7950440285177,2022-07-15,845.7,time,7,3.894348894348898,3.566121094324328,24.0459686298
ICICIGI,Insurance,2022-07-07,2022-07-08,1286.0,6,1210.8271825273625,1473.9320436815935,2022-07-19,1273.4,time,7,-0.9797822706065218,-1.3005223036080769,24.7483009464
ESCORTS,Unknown:ESCORTS,2022-07-19,2022-07-20,1772.05,4,1666.5835091547774,2035.7162271130562,2022-07-25,1666.5835091547774,stop,3,-5.951665632754299,-6.264767729265955,22.19330280493923
BEL,Unknown:BEL,2022-07-18,2022-07-19,253.6,32,238.63697670704917,291.00755823237705,2022-07-28,274.0,time,7,8.044164037854884,7.709561183911666,27.1536908032
CUMMINSIND,Auto,2022-07-18,2022-07-19,1157.0,7,1094.582473600553,1313.0438159986177,2022-07-28,1190.1,time,7,2.860847018150392,2.534206910579087,26.4545823122
SRTRANSFIN,Unknown:SRTRANSFIN,2022-07-18,2022-07-19,1382.2,5,1291.0315643285167,1610.1210891787084,2022-07-28,1478.0,time,7,6.930979597742715,6.598086846679193,23.006218026
CANBK,Banking,2022-07-19,2022-07-20,225.25,36,209.76651911038405,263.9587022240399,2022-07-29,228.2,time,7,1.3096559378468209,0.9853988103440461,26.294010469200003
NAVINFLUOR,Chemicals,2022-07-25,2022-07-26,4155.0,2,3885.822270735549,4827.944323161128,2022-08-04,4277.35,time,7,2.944645006016855,2.6178761657978415,27.1544906222
PVR,Unknown:PVR,2022-07-27,2022-07-28,2039.1,4,1927.5786676361733,2317.9033309095666,2022-08-08,2110.0,time,7,3.4770241773331323,3.149437482389285,26.719281186399996
BAJFINANCE,Financial Services,2022-07-28,2022-07-29,7175.0,1,6772.17771027516,8182.0557243121,2022-08-10,7369.0,time,7,2.7038327526132333,2.3774338544390172,23.419120944
INDUSINDBK,Banking,2022-07-28,2022-07-29,1022.2,8,961.4581678782174,1174.0545803044567,2022-08-10,1045.4,time,7,2.2696145568382065,1.943882715946013,26.6370470208
LAURUSLABS,Pharma,2022-07-28,2022-07-29,525.0,16,488.6977037035317,615.7557407411707,2022-08-10,551.1,time,7,4.971428571428582,4.641546133600011,27.7101247776
ADANIPOWER,Power,2022-08-03,2022-08-04,344.95,25,318.4944332337259,411.0889169156852,2022-08-17,367.0,time,7,6.392230758080886,6.060165646992322,28.6364650175
MANAPPURAM,Financial Services,2022-08-05,2022-08-08,108.6,78,100.5414600124191,128.74634996895225,2022-08-19,106.3,time,7,-2.117863720073665,-2.436855402762431,27.021147457199994
