symbol,signal_date,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,shares,gross_pnl_pct,net_pnl_pct,cost_pct
LOVABLE,2013-06-20,2013-06-21,275.2,,,2013-12-26,303.1,time,126,36,10.138081395348841,9.80026181111919,0.3378195842296512
TATACOFFEE,2013-06-21,2013-06-24,980.0,,,2013-12-27,992.25,time,126,10,1.2499999999999956,0.9258345174999956,0.3241654825
ANANTRAJ,2013-06-24,2013-06-25,52.2,,,2013-12-30,61.5,time,126,191,17.816091954022983,17.466477210344824,0.3496147436781609
BOSCHLTD,2013-06-25,2013-06-26,8578.0,,,2013-12-31,10300.05,time,126,1,20.075192352529726,19.722107120082768,0.35308523244695733
GITANJALI,2013-06-25,2013-06-26,288.7,,,2013-12-31,67.95,time,126,34,-76.46345687564946,-76.6682369251472,0.20478004949774858
EMAMILTD,2013-06-26,2013-06-27,443.0,,,2014-01-01,476.0,time,126,22,7.44920993227991,7.115521062302483,0.33368886997742664
SOBHA,2013-06-27,2013-06-28,349.0,,,2014-01-02,322.45,time,126,28,-7.607449856733528,-7.918008294469917,0.31055843773638964
TV18BRDCST,2013-06-27,2013-06-28,22.85,,,2014-01-02,24.05,time,126,437,5.251641137855567,4.921328230196924,0.3303129076586433
ARVIND,2013-07-08,2013-07-09,71.7,,,2014-01-13,153.9,time,126,139,114.64435146443518,114.14598663096237,0.49836483347280347
STAR,2013-07-09,2013-07-10,787.95,,,2014-01-14,350.0,time,126,12,-55.58093787676883,-55.81779819489815,0.23686031812932293
PRESTIGE,2013-07-19,2013-07-22,129.7,,,2014-01-24,154.8,time,126,77,19.35235158057056,19.000376794911347,0.3519747856592137
SIEMENS,2013-07-22,2013-07-23,544.35,,,2014-01-27,573.0,time,126,18,5.263157894736836,4.932827294736836,0.33033060000000003
BPCL,2013-07-29,2013-07-30,341.1,,,2014-02-03,366.0,time,126,29,7.299912049252422,6.966452534564647,0.33345951468777485
GODREJIND,2013-07-29,2013-07-30,268.1,,,2014-02-03,270.0,time,126,37,0.7086907870197612,0.38535687780678096,0.3233339092129802
POWERGRID,2013-07-29,2013-07-30,108.1,,,2014-02-03,95.15,time,126,92,-11.979648473635518,-12.283490226179458,0.30384175254394086
SUNPHARMA,2013-07-29,2013-07-30,574.5,,,2014-02-03,588.2,time,126,17,2.3846823324630284,2.058773721462158,0.3259086110008703
ASIANPAINT,2013-07-30,2013-07-31,512.0,,,2014-02-04,465.05,time,126,19,-9.169921874999998,-9.478080002597654,0.30815812759765626
EXIDEIND,2013-07-31,2013-08-01,123.35,,,2014-02-05,103.0,time,126,81,-16.49777057154438,-16.79467146745034,0.29690089590595864
ULTRACEMCO,2013-08-02,2013-08-05,1780.0,,,2014-02-07,1692.0,time,126,5,-4.943820224719097,-5.258470599550558,0.31465037483146074
ADANIPORTS,2013-08-05,2013-08-06,120.7,,,2014-02-10,147.25,time,126,82,21.99668599834299,21.6406489173985,0.3560370809444905
OIL,2013-08-05,2013-08-06,468.1,,,2014-02-10,448.7,time,126,21,-4.1444135868404235,-4.460292030933566,0.3158784440931425
HDFC,2013-08-06,2013-08-07,759.7,,,2014-02-11,764.0,time,126,13,0.5660128998288716,0.2428981760958191,0.3231147237330525
ONGC,2013-08-06,2013-08-07,269.3,,,2014-02-11,273.5,time,126,37,1.559598960267361,1.2349578637950254,0.3246410964723357
DEN,2013-08-07,2013-08-08,157.0,,,2014-02-12,147.0,time,126,63,-6.369426751592355,-6.681887072611463,0.3124603210191083
JUBLFOOD,2013-08-07,2013-08-08,1075.0,,,2014-02-12,1058.8,time,126,9,-1.5069767441860504,-1.8269068873302365,0.319930143144186
MARICO,2013-08-07,2013-08-08,203.0,,,2014-02-12,218.5,time,126,49,7.635467980295574,7.301492975862076,0.33397500443349754
MARUTI,2013-08-19,2013-08-20,1300.0,,,2014-02-20,1697.0,time,126,7,30.538461538461537,30.169302359846153,0.36915917861538466
SHREECEM,2013-08-19,2013-08-20,3760.2,,,2014-02-20,4336.0,time,126,2,15.31301526514548,14.967245812956767,0.3457694521887134
BAJAJ-AUTO,2013-08-21,2013-08-22,1725.0,,,2014-02-24,1862.7,time,126,5,7.982608695652171,7.648100404626084,0.3345082910260869
RELIANCE,2013-08-21,2013-08-22,782.45,,,2014-02-24,808.05,time,126,12,3.271774554284601,2.9445031691481707,0.3272713851364304
COLPAL,2013-08-22,2013-08-23,1245.05,,,2014-02-25,1312.1,time,126,8,5.385325890526471,5.0548076128749715,0.3305182776514999
NMDC,2013-08-27,2013-08-28,112.0,,,2014-03-03,127.5,time,126,89,13.83928571428572,13.495780243750007,0.3435054705357143
CONCOR,2013-09-06,2013-09-10,711.55,,,2014-03-13,832.3,time,126,14,16.96999508116084,16.621680133497286,0.3483149476635515
BAJFINANCE,2013-09-12,2013-09-13,1132.0,,,2014-03-19,1650.35,time,126,8,45.79063604240281,45.398046076757936,0.3925899656448763
COALINDIA,2013-09-12,2013-09-13,285.0,,,2014-03-19,271.2,time,126,35,-4.842105263157903,-5.1569118951579025,0.31480663200000003
VOLTAS,2013-09-16,2013-09-17,74.0,,,2014-03-21,150.3,time,126,135,103.10810810810813,102.62746555162164,0.48064255648648657
RENUKA,2013-09-20,2013-09-23,18.75,,,2014-03-27,21.35,time,126,533,13.86666666666667,13.523119132800003,0.34354753386666664
HDIL,2013-09-23,2013-09-24,37.9,,,2014-03-28,54.6,time,126,263,44.063324538258584,43.673388113456475,0.3899364248021109
LICHSGFIN,2013-09-23,2013-09-24,193.0,,,2014-03-28,235.0,time,126,51,21.761658031088093,21.405982006217627,0.3556760248704663
JINDALSTEL,2013-09-24,2013-09-25,248.8,,,2014-03-31,280.7,time,126,40,12.821543408360125,12.479601420016072,0.3419419883440514
ERAINFRA,2013-09-25,2013-09-26,121.6,,,2014-04-01,14.05,time,126,82,-88.44572368421053,-88.63209626389803,0.18637257968750004
OMAXE,2013-09-26,2013-09-27,139.0,,,2014-04-02,126.95,time,126,71,-8.66906474820144,-8.97799230553957,0.3089275573381295
INDHOTEL,2013-09-27,2013-09-30,47.3,,,2014-04-03,72.4,time,126,211,53.065539112050764,52.66177325116281,0.4037658608879493
SAIL,2013-09-30,2013-10-01,49.95,,,2014-04-04,72.2,time,126,200,44.54454454454455,44.15386885705706,0.39067568748748754
TATASTEEL,2013-09-30,2013-10-01,274.25,,,2014-04-04,399.9,time,126,36,45.815861440291705,45.42323272273473,0.39262871755697365
CASTROL,2013-10-01,2013-10-03,297.0,,,,,unresolved,0,33,,,
JAICORPLTD,2013-10-04,2013-10-07,45.5,,,2014-04-10,76.7,time,126,219,68.57142857142857,68.14384215999999,0.42758641142857146
ACC,2013-10-07,2013-10-08,1125.0,,,2014-04-11,1385.5,time,126,8,23.15555555555555,22.797738189066663,0.3578173664888889
GSPL,2013-10-07,2013-10-08,55.85,,,2014-04-11,69.5,time,126,179,24.440465532676804,24.0806742540734,0.359791278603402
APOLLOTYRE,2013-10-09,2013-10-10,68.0,,,2014-04-16,165.7,time,126,147,143.67647058823528,143.1335058585294,0.5429647297058824
PETRONET,2013-10-14,2013-10-15,125.55,,,2014-04-22,140.5,time,126,79,11.907606531262438,11.567068556511343,0.34053797475109526
OPTOCIRCUI,2013-10-24,2013-10-25,23.0,,,2014-05-05,33.35,time,126,434,44.99999999999999,44.608624629999994,0.39137537000000006
JPASSOCIAT,2013-10-28,2013-10-29,43.0,,,2014-05-07,53.55,time,126,232,24.534883720930225,24.174947394651156,0.3599363262790698
PUNJLLOYD,2013-11-05,2013-11-06,28.85,,,2014-05-14,34.0,time,126,346,17.850953206239172,17.501284907798965,0.3496682984402079
INDIACEM,2013-11-07,2013-11-08,51.7,,,2014-05-16,77.15,time,126,193,49.22630560928434,48.82843767872341,0.3978679305609285
HINDPETRO,2013-11-11,2013-11-12,210.0,,,2014-05-20,438.0,time,126,47,108.57142857142858,108.08239312,0.48903545142857135
LT,2013-11-11,2013-11-12,945.0,,,2014-05-20,1534.0,time,126,10,62.32804232804232,61.91004716888888,0.4179951591534391
SINTEX,2013-11-13,2013-11-14,28.85,,,2014-05-22,80.9,time,126,346,180.41594454072788,179.81653967590987,0.5994048648180242
SUNTV,2013-11-20,2013-11-21,378.0,,,2014-05-28,414.05,time,126,26,9.537037037037033,9.200140792777773,0.33689624425925924
CIPLA,2013-11-22,2013-11-25,389.0,,,2014-05-30,370.0,time,126,25,-4.884318766066842,-5.1990605485861225,0.3147417825192802
PEL,2013-11-26,2013-11-27,505.0,,,2014-06-03,692.05,time,126,19,37.03960396039603,36.66045755776236,0.37914640263366334
TORNTPHARM,2013-12-17,2013-12-18,469.95,,,2014-06-24,673.5,time,126,21,43.31311841685286,42.92433447819981,0.3887839386530483
TITAN,2013-12-20,2013-12-23,229.05,,,2014-06-27,347.25,time,126,43,51.6044531761624,51.2029318734774,0.4015213026850033
GITANJALI,2014-01-02,2014-01-03,68.8,,,2014-07-09,88.8,time,126,145,29.06976744186047,28.70286450930233,0.3669029325581396
IOC,2014-01-02,2014-01-03,205.8,,,2014-07-09,334.0,time,126,48,62.29348882410106,61.87554674693877,0.4179420771622935
TATACOFFEE,2014-01-02,2014-01-03,980.0,,,2014-07-09,957.8,time,126,10,-2.2653061224489845,-2.584071300285719,0.3187651778367347
AMBUJACEM,2014-01-09,2014-01-10,171.0,,,2014-07-16,221.8,time,126,58,29.707602339181282,29.33971954807017,0.36788279111111116
IDFC,2014-01-10,2014-01-13,98.05,,,2014-07-17,161.5,time,126,101,64.71188169301378,64.29022441784805,0.42165727516573176
TATAPOWER,2014-01-13,2014-01-14,77.9,,,2014-07-18,107.7,time,126,128,38.25417201540435,37.87315976174581,0.3810122536585366
EMAMILTD,2014-01-16,2014-01-17,449.0,,,2014-07-23,535.05,time,126,22,19.164810690423153,18.813124009955448,0.351686680467706
GODREJCP,2014-01-16,2014-01-17,754.0,,,2014-07-23,839.05,time,126,13,11.279840848806355,10.940267264018557,0.3395735847877984
IGL,2014-01-21,2014-01-22,262.0,,,2014-07-28,372.0,time,126,38,41.984732824427475,41.59798958625954,0.386743238167939
MCLEODRUSS,2014-01-24,2014-01-27,263.05,,,2014-08-01,278.4,time,126,38,5.83539251092946,5.504182829233965,0.3312096816954952
RECLTD,2014-01-24,2014-01-27,177.65,,,2014-08-01,302.9,time,126,56,70.50379960596678,70.0732446359133,0.4305549700534759
DLF,2014-01-27,2014-01-28,140.0,,,2014-08-04,202.35,time,126,71,44.53571428571428,44.14505216349999,0.39066212221428576
IRB,2014-01-27,2014-01-28,73.5,,,2014-08-04,251.9,time,126,136,242.72108843537416,242.02596878857145,0.695119646802721
JPPOWER,2014-01-27,2014-01-28,13.75,,,2014-08-04,18.5,time,126,727,34.54545454545455,34.17013972,0.3753148254545455
RPOWER,2014-01-27,2014-01-28,64.0,,,2014-08-04,90.65,time,126,156,41.64062500000001,41.254410389218755,0.38621461078125
SOBHA,2014-01-27,2014-01-28,286.0,,,2014-08-04,435.35,time,126,34,52.22027972027974,51.81781236884618,0.4024673514335665
TATACHEM,2014-01-27,2014-01-28,250.0,,,2014-08-04,346.3,time,126,40,38.519999999999996,38.138579374479995,0.38142062552
TV18BRDCST,2014-01-27,2014-01-28,20.4,,,2014-08-04,29.9,time,126,490,46.5686274509804,46.17484231470589,0.39378513627450984
IFCI,2014-01-30,2014-01-31,22.25,,,2014-08-07,37.3,time,126,449,67.64044943820224,67.21429322112358,0.4261562170786517
RELCAPITAL,2014-01-30,2014-01-31,320.05,,,2014-08-07,580.0,time,126,31,81.22168411185751,80.77466404896109,0.4470200628964225
IVRCLINFRA,2014-01-31,2014-02-03,11.0,,,2014-08-08,20.0,time,126,909,81.81818181818181,81.3702454,0.44793641818181823
GRASIM,2014-02-03,2014-02-04,2498.0,,,2014-08-11,3270.05,time,126,4,30.906725380304255,30.537000465200173,0.3697249151040833
TTKPRESTIG,2014-02-04,2014-02-05,3207.0,,,2014-08-12,3837.6,time,126,3,19.663236669784844,19.310784294368567,0.3524523754162769
NTPC,2014-02-10,2014-02-11,134.4,,,2014-08-19,143.1,time,126,74,6.473214285714279,6.141024765624993,0.3321895200892857
POWERGRID,2014-02-11,2014-02-12,95.9,,,2014-08-20,136.7,time,126,104,42.544316996871714,42.156714110948876,0.38760288592283637
ULTRACEMCO,2014-02-11,2014-02-12,1705.5,,,2014-08-20,2718.0,time,126,5,59.36675461741425,58.95330866543536,0.4134459519788918
JUBLFOOD,2014-02-12,2014-02-13,1050.0,,,2014-08-21,1272.7,time,126,9,21.209523809523812,20.854695987600003,0.35482782192380957
HDFC,2014-02-13,2014-02-14,763.2,,,2014-08-22,1065.1,time,126,13,39.55712788259955,39.17411399426098,0.38301388833857447
ONGC,2014-02-13,2014-02-14,275.0,,,2014-08-22,428.0,time,126,36,55.63636363636364,55.228648408000005,0.4077152283636364
RIIL,2014-02-13,2014-02-14,313.0,,,2014-08-22,526.75,time,126,31,68.29073482428115,67.86357962188498,0.42715520239616617
BOMDYEING,2014-02-14,2014-02-17,51.55,,,2014-08-25,67.7,time,126,193,31.32880698351117,30.95843365567412,0.3703733278370514
OIL,2014-02-17,2014-02-18,448.05,,,2014-08-26,593.8,time,126,22,32.529851579064825,32.15763317529292,0.3722184037719004
THEBYKE,2014-02-17,2014-02-18,306.55,,,2014-08-26,316.8,time,126,32,3.3436633501875646,3.016281527613759,0.3273818225738053
BHARTIARTL,2014-02-21,2014-02-24,289.9,,,2014-09-02,378.6,time,126,34,30.596757502587124,30.227508768195953,0.3692487343911694
RELIANCE,2014-02-28,2014-03-03,800.1,,,2014-09-08,1033.9,time,126,12,29.22134733158357,28.85421153805776,0.3671357935258093
TORNTPOWER,2014-03-18,2014-03-19,79.85,,,2014-09-23,146.4,time,126,125,83.34376956793992,82.89348950219164,0.45028006574827806
COALINDIA,2014-03-19,2014-03-20,263.0,,,2014-09-24,335.35,time,126,38,27.509505703422054,27.14499968551331,0.3645060179087453
RADICO,2014-04-29,2014-04-30,107.75,,,2014-11-07,90.75,time,126,92,-15.777262180974482,-16.075269940603253,0.2980077596287703
IDEA,2014-05-02,2014-05-05,134.0,,,2014-11-11,168.5,time,126,74,25.74626865671641,25.384471369402977,0.36179728731343286
HINDUNILVR,2014-05-05,2014-05-06,559.0,,,2014-11-12,772.0,time,126,17,38.103756708407865,37.722975526654736,0.3807811817531306
GLENMARK,2014-05-19,2014-05-20,510.4,,,2014-11-26,825.5,time,126,19,61.73589341692791,61.318807932327594,0.41708548460031347
MINDTREE,2014-06-03,2014-06-04,780.0,,,2014-12-11,1180.0,time,126,12,51.28205128205128,50.881025261538454,0.4010260205128205
UBL,2014-06-13,2014-06-16,717.0,,,2014-12-23,814.6,time,126,13,13.612273361227345,13.26911663297072,0.34315672825662485
ITC,2014-06-23,2014-06-24,315.0,,,2015-01-01,367.6,time,126,31,16.698412698412703,16.350514962666672,0.34789773574603183
TATACOFFEE,2014-07-11,2014-07-14,920.0,,,2015-01-21,1013.7,time,126,10,10.184782608695663,9.846891280847837,0.3378913278478261
CAIRN,2014-07-25,2014-07-28,311.0,,,2015-02-05,250.0,time,126,32,-19.614147909967848,-19.90626134598071,0.2921134360128617
RCOM,2014-08-13,2014-08-14,120.25,,,2015-02-24,70.3,time,126,83,-41.53846153846155,-41.79689427384616,0.2584327353846154
SUNTV,2014-08-19,2014-08-20,367.1,,,2015-02-27,431.0,time,126,27,17.406701171342952,17.057715344429305,0.34898582691364755
HAVELLS,2014-08-26,2014-08-27,280.0,,,2015-03-09,276.15,time,126,35,-1.375000000000004,-1.695132889250004,0.32013288925
JINDALSTEL,2014-08-26,2014-08-27,237.0,,,2015-03-09,195.1,time,126,42,-17.67932489451477,-17.97441065594937,0.2950857614345992
JPPOWER,2014-08-28,2014-09-01,14.2,,,2015-03-11,11.5,time,126,704,-19.01408450704225,-19.307119776056332,0.2930352690140846
RENUKA,2014-09-03,2014-09-04,18.55,,,2015-03-16,14.8,time,126,539,-20.21563342318059,-20.506822841509432,0.291189418328841
JPASSOCIAT,2014-09-04,2014-09-05,37.7,,,2015-03-17,27.2,time,126,265,-27.85145888594165,-28.130917950663136,0.27945906472148546
DLF,2014-10-07,2014-10-08,140.2,,,2015-04-17,150.0,time,126,71,6.990014265335254,6.657030823680475,0.33298344165477894
MCLEODRUSS,2014-10-14,2014-10-16,265.05,,,2015-04-24,254.95,time,126,37,-3.810601773250344,-4.126993027730631,0.3163912544802867
IPCALAB,2014-10-16,2014-10-17,686.0,,,2015-04-27,662.1,time,126,14,-3.4839650145772616,-3.8008580569387775,0.31689304236151605
NMDC,2014-12-01,2014-12-02,135.0,,,2015-06-08,121.45,time,126,74,-10.037037037037033,-10.343863079777773,0.30682604274074077
INFY,2014-12-02,2014-12-03,2101.5,,,2015-06-09,2003.75,time,126,4,-4.651439448013328,-4.966538985795864,0.3150995377825363
